0,1
1,2
2,3
3,4
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,2
13,4
14,2
15,2
16,2
17,2
18,5
19,4
20,3
21,3
22,4
23,3
24,1
25,2
26,1
27,1
28,5
29,3
30,1
31,2
32,4
33,4
34,3
35,5
36,1
37,2
38,4
39,1
40,3
41,2
42,2
43,4
44,3
45,2
46,2
47,1
48,1
49,1
50,1
51,3
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,1
61,1
62,2
63,1
64,2
65,5
66,1
67,2
68,2
69,4
70,1
71,5
72,2
73,2
74,2
75,1
76,2
77,2
78,5
79,4
80,2
81,2
82,1
83,3
84,4
85,4
86,2
87,4
88,2
89,1
90,3
91,3
92,2
93,4
94,4
95,1
96,5
97,1
98,2
99,4
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,5
109,1
110,5
111,1
112,4
113,2
114,2
115,1
116,5
117,2
118,3
119,2
120,5
121,5
122,4
123,1
124,1
125,5
126,3
127,2
128,1
129,4
130,2
131,2
132,2
133,4
134,3
135,4
136,1
137,5
138,1
139,1
140,3
141,2
142,4
143,5
144,2
145,2
146,1
147,5
148,2
149,5
150,3
151,5
152,3
153,2
154,4
155,4
156,2
157,5
158,2
159,2
160,3
161,1
162,2
163,5
164,5
165,2
166,2
167,5
168,5
169,2
170,1
171,4
172,2
173,2
174,5
175,2
176,4
177,5
178,1
179,1
180,3
181,5
182,3
183,4
184,2
185,2
186,2
187,2
188,5
189,1
190,1
191,2
192,2
193,2
194,5
195,1
196,2
197,4
198,1
199,2
200,5
201,4
202,5
203,5
204,2
205,5
206,1
207,5
208,4
209,1
210,2
211,1
212,1
213,1
214,2
215,2
216,1
217,5
218,3
219,1
220,1
221,5
222,2
223,2
224,3
225,2
226,2
227,5
228,2
229,5
230,1
231,1
232,4
233,4
234,4
235,4
236,4
237,1
238,4
239,3
240,2
241,1
242,4
243,3
244,2
245,2
246,2
247,2
248,2
249,2
250,4
251,2
252,3
253,1
254,2
255,2
256,2
257,1
258,2
259,2
260,4
261,5
262,4
263,2
264,2
265,3
266,2
267,1
268,2
269,1
270,2
271,1
272,1
273,5
274,4
275,4
276,4
277,4
278,1
279,2
280,2
281,4
282,1
283,1
284,5
285,1
286,4
287,3
288,1
289,3
290,2
291,2
292,2
293,1
294,2
295,4
296,2
297,5
298,5
299,2
300,4
301,5
302,1
303,3
304,2
305,2
306,4
307,2
308,1
309,1
310,3
311,4
312,4
313,2
314,4
315,4
316,5
317,4
318,2
319,2
320,2
321,2
322,4
323,1
324,5
325,1
326,2
327,2
328,1
329,1
330,1
331,4
332,4
333,5
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,4
343,4
344,1
345,4
346,4
347,1
348,5
349,2
350,3
351,5
352,3
353,2
354,4
355,1
356,5
357,1
358,1
359,1
360,4
361,4
362,4
363,2
364,2
365,1
366,4
367,1
368,3
369,1
370,2
371,4
372,2
373,4
374,5
375,5
376,2
377,2
378,2
379,2
380,4
381,2
382,2
383,2
384,1
385,1
386,4
387,1
388,2
389,4
390,2
391,5
392,3
393,5
394,2
395,1
396,2
397,3
398,2
399,2
400,3
401,4
402,4
403,3
404,3
405,2
406,2
407,1
408,2
409,3
410,4
411,1
412,5
413,1
414,1
415,1
416,1
417,2
418,3
419,2
420,5
421,5
422,2
423,2
424,3
425,2
426,1
427,3
428,2
429,3
430,3
431,4
432,2
433,2
434,5
435,2
436,3
437,1
438,1
439,2
440,2
441,3
442,3
443,4
444,4
445,5
446,4
447,1
448,4
449,4
450,2
451,4
452,5
453,1
454,2
455,4
456,1
457,2
458,5
459,1
460,1
461,1
462,3
463,2
464,5
465,5
466,4
467,1
468,2
469,4
470,2
471,2
472,1
473,1
474,1
475,1
476,5
477,2
478,4
479,5
480,1
481,3
482,1
483,4
484,4
485,3
486,1
487,1
488,1
489,2
490,4
491,4
492,1
493,5
494,5
495,5
496,5
497,3
498,1
499,4
500,2
501,2
502,2
503,3
504,2
505,4
506,2
507,2
508,2
509,5
510,4
511,1
512,4
513,2
514,5
515,4
516,5
517,1
518,5
519,1
520,1
521,2
522,2
523,3
524,5
525,4
526,5
527,1
528,5
529,4
530,2
531,1
532,2
533,2
534,4
535,1
536,1
537,2
538,1
539,5
540,2
541,4
542,2
543,1
544,5
545,2
546,5
547,1
548,4
549,2
550,4
551,4
552,5
553,2
554,2
555,1
556,1
557,3
558,5
559,4
560,5
561,4
562,4
563,4
564,2
565,2
566,2
567,2
568,5
569,4
570,1
571,1
572,3
573,4
574,1
575,5
576,1
577,2
578,5
579,2
580,5
581,1
582,1
583,2
584,2
585,4
586,5
587,2
588,2
589,2
590,3
591,1
592,5
593,2
594,4
595,1
596,5
597,4
598,4
599,2
600,4
601,1
602,1
603,5
604,5
605,1
606,4
607,1
608,1
609,4
610,1
611,1
612,5
613,2
614,5
615,5
616,1
617,1
618,1
619,1
620,4
621,4
622,4
623,2
624,4
625,1
626,3
627,1
628,1
629,4
630,1
631,5
632,5
633,1
634,4
635,1
636,2
637,1
638,3
639,2
640,2
641,1
642,5
643,1
644,2
645,5
646,1
647,1
648,1
649,5
650,5
651,2
652,5
653,1
654,1
655,5
656,2
657,3
658,1
659,4
660,1
661,4
662,5
663,1
664,2
665,2
666,5
667,5
668,5
669,4
670,2
671,4
672,4
673,1
674,2
675,2
676,1
677,1
678,1
679,1
680,3
681,1
682,2
683,4
684,1
685,2
686,2
687,5
688,5
689,5
690,5
691,1
692,2
693,4
694,5
695,4
696,1
697,5
